nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissoes,ausencia_justificada_comissoes,ausencia_nao_justificada_comissoes,salario_bruto_par,get_gasto_total_par,get_gasto_janeiro_par,get_gasto_fevereiro_par,get_gasto_marco_par,get_gasto_abril_par,get_gasto_maio_par,get_gasto_junho_par,get_gasto_julho_par,get_gasto_agosto_par,get_gasto_setembro_par,get_gasto_outubro_par,get_gasto_novembro_par,get_gasto_dezembro_par,quant_viagens
Fernando Coelho Filho,M,28/02/1984,81,5,6,6,4,39,33763.00,289091.64,32904.38,35321.53,50966.51,42640.35,22991.65,38141.86,34943.44,7902.03,1571.47,20930.42,778.00,NaN,0
Fred Costa,M,12/07/1977,83,9,0,14,1,5,33763.00,285262.12,14730.30,29479.43,41701.41,55095.45,44266.74,24177.23,21336.08,23057.48,15301.98,12687.52,3428.50,NaN,0
Filipe Barros,M,29/05/1991,82,10,0,13,3,10,33763.00,289321.08,39534.77,31282.38,56382.81,46765.21,50641.59,43365.67,18271.75,239.65,40.19,1714.17,1082.89,NaN,0
Flávio Nogueira,M,27/02/1953,91,1,0,39,0,4,33763.00,395772.41,38329.27,41835.51,39604.13,37048.37,42494.03,47068.00,42082.62,36727.61,36484.39,34098.48,0.00,NaN,0
Flaviano Melo,M,17/11/1949,82,10,0,3,0,1,33763.00,438870.21,34282.68,37155.36,51227.13,29713.90,79405.70,25480.53,38048.40,39592.10,54822.12,29142.29,20000.00,NaN,0
Franco Cartafina,M,03/11/1986,86,3,3,44,4,15,33763.00,318135.20,28065.10,33009.58,43304.17,45119.68,52088.32,34699.31,22247.15,51692.11,5409.62,2332.94,167.22,NaN,0
Francisco Jr.,M,15/03/1969,87,3,2,25,2,6,33763.00,309142.86,17093.58,30616.27,50032.21,33547.10,38718.63,30008.06,31405.20,20504.95,10000.71,26688.21,20527.94,NaN,0
Fernando Monteiro,M,17/09/1976,87,5,0,17,4,3,33763.00,320877.65,33166.59,36756.35,50815.63,46090.78,35207.06,35106.58,33522.18,12348.74,7355.49,29824.28,683.97,NaN,1
Fernando Rodolfo,M,17/11/1983,83,4,5,17,3,51,33763.00,302649.08,34398.75,35640.31,48456.09,61790.50,42253.99,30175.92,26376.10,10140.69,7883.19,5533.54,0.00,NaN,0
Frei Anastacio Ribeiro,M,03/03/1944,86,6,0,30,4,14,33763.00,361696.70,40812.78,41699.11,53527.13,42212.73,53135.08,32573.14,21560.81,17788.85,19494.29,37582.25,1310.53,NaN,0
Genecias Noronha,M,13/03/1963,58,31,3,0,0,0,33763.00,182956.80,6912.14,17143.52,35003.95,26327.99,19477.71,14497.11,13104.39,10260.84,26907.04,13322.11,0.00,NaN,0
Gelson Azevedo,M,10/01/1965,88,0,4,17,0,13,33763.00,320500.73,17208.87,18142.04,73589.54,23955.82,60671.30,21380.73,24088.36,10719.92,15215.86,4613.07,50915.22,NaN,0
General Girão,M,08/05/1955,85,4,3,47,3,6,33763.00,363091.99,37148.25,58184.62,39315.76,43316.28,45230.05,37619.01,23969.66,26317.64,11257.52,39833.77,899.43,NaN,0
General Peternelli,M,06/08/1954,89,0,3,132,0,21,33763.00,219516.20,17011.69,44800.56,44569.19,22660.96,25933.02,28500.81,13743.54,9053.72,5578.56,7617.80,46.35,NaN,0
Gervásio Maia,M,14/04/1975,81,5,6,36,5,14,33763.00,270049.07,23330.03,37075.33,36581.92,43748.87,45588.36,26193.97,18498.45,14012.00,10194.19,13781.20,1044.75,NaN,0
Giacobo,M,17/12/1970,86,1,5,13,1,7,33763.00,369972.81,27455.42,49074.18,58575.31,7832.83,52242.70,38497.82,8820.58,6333.82,4309.92,66740.23,50090.00,NaN,1
Gil Cutrim,M,26/10/1979,76,5,11,22,4,27,33763.00,406001.14,46898.79,47176.96,48122.54,51226.09,58582.87,18377.58,25986.45,21934.68,12653.68,75041.50,0.00,NaN,0
